,s.no.,name,"cmp
rs.",p/e,"marcap
rs.cr.","divyld
%","npqtr
rs.cr.","qtrprofitvar
%","salesqtr
rs.cr.","qtrsalesvar
%","roce
%",tmp1,tmp2,tmp3,tmp4,tmp5,tmp6,tmp7,tmp8,tmp9,tmp10,L_Prc,H_Prc,B_Prc,H_Prc_date,B_Prc_date,Prof_marg_days,Prof%,C_Prof%
628,2050,Dhanlaxmi Cotex,102,14.01,49.7,0,1.54,485,6.41,357.86,1.61,,101.5,,,107,102,106,,,,101.5,107,101.5,2022-02-04,2022-02-04,0 days,5.419,0.493
629,1684,Trejhara Solutio,102.1,9.44,120.6,0,3.31,13.75,13.6,-3.68,2.99,,101.6,,,107.1,102.1,106.1,,,,101.6,107.1,101.6,2022-02-04,2022-02-04,0 days,5.413,0.492
630,1534,Variman Global,102.1,1139.6,170.93,0.14,-0.4,-217.65,5.37,-61.81,8.83,,101.6,,,107.1,102.1,106.1,,,,101.6,107.1,101.6,2022-02-04,2022-02-04,0 days,5.413,0.492
631,1035,Ganesh Benzopl.,102.2,39.36,637.32,0,6.98,-31.6,76.52,40.77,25.59,,101.7,,,107.2,102.2,106.2,,,,101.7,107.2,101.7,2022-02-04,2022-02-04,0 days,5.408,0.492
632,893,Satia Industries,102.5,15.39,1025,0.1,20.27,51.95,186.77,26.26,11.55,,102,,,107.5,102.5,106.5,,,,102,107.5,102,2022-02-04,2022-02-04,0 days,5.392,0.49
633,1950,Auro Labs.,102.5,16.31,63.86,0,0.61,-69.95,12.14,-7.4,38.87,,102,,,107.5,102.5,106.5,,,,102,107.5,102,2022-02-04,2022-02-04,0 days,5.392,0.49
634,2031,A K Spintex,102.6,74.81,51.62,0,0.04,-82.61,17.05,56.57,4.64,,102.1,,,107.6,102.6,106.6,,,,102.1,107.6,102.1,2022-02-04,2022-02-04,0 days,5.387,0.49
635,1575,Aarnav Fashions,102.7,46.7,154.09,0.49,0.9,4.65,14.99,73.9,19.57,,102.2,,,107.7,102.7,106.7,,,,102.2,107.7,102.2,2022-02-04,2022-02-04,0 days,5.382,0.489
636,1722,Meera Industries,102.85,49.69,109.84,1.18,,,,,12.45,,102.35,,,107.85,102.85,106.85,,,,102.35,107.85,102.35,2022-02-04,2022-02-04,0 days,5.374,0.489
637,1103,Chamanlal Setia,103,7.92,532.85,0.54,9.6,-40.26,167.19,-10.68,29.52,,102.5,,,108,103,107,,,,102.5,108,102.5,2022-02-04,2022-02-04,0 days,5.366,0.488
638,1418,Uday Jewellery,103.05,46.78,226.92,0,1.4,-15.66,29.74,117.72,13.67,,102.55,,,108.05,103.05,107.05,,,,102.55,108.05,102.55,2022-02-04,2022-02-04,0 days,5.363,0.488
639,1668,NTC Industries,103.1,16.43,123.12,0,2.99,-20.9,9.2,22.5,18.35,,102.6,,,108.1,103.1,107.1,,,,102.6,108.1,102.6,2022-02-04,2022-02-04,0 days,5.361,0.487
640,1064,Man Industries,103.6,5.94,591.54,0,24.47,-10.3,490.19,-16.53,17.35,,103.1,,,108.6,103.6,107.6,,,,103.1,108.6,103.1,2022-02-04,2022-02-04,0 days,5.335,0.485
641,1282,Birla Cable,103.65,23.39,310.95,1,3.66,976.47,137.78,103.97,6.8,,103.15,,,108.65,103.65,107.65,,,,103.15,108.65,103.15,2022-02-04,2022-02-04,0 days,5.332,0.485
642,1594,Maha Rashtra Apx,103.9,84.97,147.02,0,-0.54,-106.07,2.11,298.11,22.31,,103.4,,,108.9,103.9,107.9,,,,103.4,108.9,103.4,2022-02-04,2022-02-04,0 days,5.319,0.484
643,1176,Waterbase,104.45,97.21,432.7,0.94,0.16,-96.31,75.22,10.94,4.94,,103.95,,,109.45,104.45,108.45,,,,103.95,109.45,103.95,2022-02-04,2022-02-04,0 days,5.291,0.481
644,496,Jamna Auto Inds.,104.7,33.59,4171.83,0.72,27.07,233.37,351.9,88.62,17.27,,104.2,,,109.7,104.7,108.7,,,,104.2,109.7,104.2,2022-02-04,2022-02-04,0 days,5.278,0.48
645,1770,Tokyo Plast Intl,104.8,144.3,99.56,0,0.44,-65.89,25.12,28.23,1.22,,104.3,,,109.8,104.8,108.8,,,,104.3,109.8,104.3,2022-02-04,2022-02-04,0 days,5.273,0.479
646,1567,Anand Rayons,104.95,218.43,157.27,0,,,,,6.45,,104.45,,,109.95,104.95,108.95,,,,104.45,109.95,104.45,2022-02-04,2022-02-04,0 days,5.266,0.479
647,1621,RSD Finance,105,10.13,135.94,0,7.11,374,23.65,152.67,6.63,,104.5,,,110,105,109,,,,104.5,110,104.5,2022-02-04,2022-02-04,0 days,5.263,0.478
648,1945,Shilp Gravures,105,7.56,64.56,1.72,1.74,-61.16,16.23,-7.04,13.95,,104.5,,,110,105,109,,,,104.5,110,104.5,2022-02-04,2022-02-04,0 days,5.263,0.478
649,1735,Kesar Enterprise,105,1.34,105.83,0,-22.57,-33.39,47.08,-12.07,32.9,,104.5,,,110,105,109,,,,104.5,110,104.5,2022-02-04,2022-02-04,0 days,5.263,0.478
650,111,S A I L,105.1,3.33,43411.79,3.76,4338.75,1398.81,26828.01,58.51,11.19,,104.6,,,110.1,105.1,109.1,,,,104.6,110.1,104.6,2022-02-04,2022-02-04,0 days,5.258,0.478
651,1423,Shankar Lal Ram.,105.3,16.94,224.52,0.05,4.14,110.15,47.2,-3.4,20.19,,104.8,,,110.3,105.3,109.3,,,,104.8,110.3,104.8,2022-02-04,2022-02-04,0 days,5.248,0.477
652,1102,Foods & Inns,106,38.1,533.59,0.19,6.29,882.81,169.82,146.62,6.62,,105.5,,,111,106,110,,,,105.5,111,105.5,2022-02-04,2022-02-04,0 days,5.213,0.474
653,1465,Mangal Credit,106,36.64,204.72,0.47,1.4,-5.41,3.02,18.43,8.14,,105.5,,,111,106,110,,,,105.5,111,105.5,2022-02-04,2022-02-04,0 days,5.213,0.474
654,1938,Hariyana Ship,106.2,5.42,65.52,0,2.3,-21.77,31.93,62.83,12.81,,105.7,,,111.2,106.2,110.2,,,,105.7,111.2,105.7,2022-02-04,2022-02-04,0 days,5.203,0.473
655,544,Jindal Saw,107.15,7.31,3426.18,1.9,12.64,-80.78,3471.04,21.17,8.02,,106.65,,,112.15,107.15,111.15,,,,106.65,112.15,106.65,2022-02-04,2022-02-04,0 days,5.157,0.469
656,1495,RDB Rasayans,107.35,10.02,190.09,0,4.53,-34.54,28.76,7.63,23.89,,106.85,,,112.35,107.35,111.35,,,,106.85,112.35,106.85,2022-02-04,2022-02-04,0 days,5.147,0.468
657,844,Xchanging Sol.,107.4,20.52,1196.44,0,18.81,24.98,41.96,-19.35,13.23,,106.9,,,112.4,107.4,111.4,,,,106.9,112.4,106.9,2022-02-04,2022-02-04,0 days,5.145,0.468
658,885,Khaitan Chemical,107.55,13.39,1043.14,0.23,28.97,362.04,273.1,154.59,19.14,,107.05,,,112.55,107.55,111.55,,,,107.05,112.55,107.05,2022-02-04,2022-02-04,0 days,5.138,0.467
659,1492,Emmbi Industries,107.6,12.89,190.35,0.37,4.91,309.17,112.77,97.56,8.29,,107.1,,,112.6,107.6,111.6,,,,107.1,112.6,107.1,2022-02-04,2022-02-04,0 days,5.135,0.467
660,1631,Flex Foods,107.85,11.36,134.28,0.9,2.9,-2.36,34.62,16.92,15.12,,107.35,,,112.85,107.85,111.85,,,,107.35,112.85,107.35,2022-02-04,2022-02-04,0 days,5.123,0.466
661,830,Prec. Wires (I),108,21.96,1248.89,0.9,14.97,49.55,708.85,80.59,20.44,,107.5,,,113,108,112,,,,107.5,113,107.5,2022-02-04,2022-02-04,0 days,5.116,0.465
662,720,JMC Projects,108.1,38.78,1815.08,0.61,-1.48,171.04,1362.31,61.67,12.62,,107.6,,,113.1,108.1,112.1,,,,107.6,113.1,107.6,2022-02-04,2022-02-04,0 days,5.112,0.465
663,1619,LKP Finance,108.3,2.51,136.12,1.84,-6.62,-132.15,4.53,-84.27,29.57,,107.8,,,113.3,108.3,112.3,,,,107.8,113.3,107.8,2022-02-04,2022-02-04,0 days,5.102,0.464
664,1247,SORIL Infra,108.4,49.58,341.46,0,0.98,-4.85,40.16,11.93,5.95,,107.9,,,113.4,108.4,112.4,,,,107.9,113.4,107.9,2022-02-04,2022-02-04,0 days,5.097,0.463
665,909,T N Petro Prod.,108.45,5.66,975.72,2.31,46.47,80.12,459.72,61.49,28.12,,107.95,,,113.45,108.45,112.45,,,,107.95,113.45,107.95,2022-02-04,2022-02-04,0 days,5.095,0.463
666,1716,Available Fin.,108.95,0.64,111.13,0,58.91,392.97,0.2,42.86,0.1,,108.45,,,113.95,108.95,112.95,,,,108.45,113.95,108.45,2022-02-04,2022-02-04,0 days,5.071,0.461
667,1488,Shardul Sec.,109.65,10.73,191.89,0,6.2,262.57,8.35,179.26,6.47,,109.15,,,114.65,109.65,113.65,,,,109.15,114.65,109.15,2022-02-04,2022-02-04,0 days,5.039,0.458
668,1487,Golden Tobacco,109.65,30.61,193.11,0,1.72,-246.15,1.98,-81.97,,,109.15,,,114.65,109.65,113.65,,,,109.15,114.65,109.15,2022-02-04,2022-02-04,0 days,5.039,0.458
669,1934,Shriram AMC,110,165,66,0,-0.15,58.33,1.07,-17.05,-0.74,,109.5,,,115,110,114,,,,109.5,115,109.5,2022-02-04,2022-02-04,0 days,5.023,0.457
670,1485,Kinetic Engg.,110,144.28,194.8,0,0.58,134.52,32.12,55.62,0.15,,109.5,,,115,110,114,,,,109.5,115,109.5,2022-02-04,2022-02-04,0 days,5.023,0.457
671,1891,Mysore Petro,110,5.65,72.4,1.82,7.38,138.06,8.14,1212.9,18.92,,109.5,,,115,110,114,,,,109.5,115,109.5,2022-02-04,2022-02-04,0 days,5.023,0.457
672,1912,Dhoot Indl.Fin,110.3,1.72,69.68,0,2.01,-54.42,3.81,103.74,23.06,,109.8,,,115.3,110.3,114.3,,,,109.8,115.3,109.8,2022-02-04,2022-02-04,0 days,5.009,0.455
673,1084,Anuh Pharma,110.9,28.84,555.74,1.36,8.6,29.52,108.74,-3.12,15.82,,110.4,,,115.9,110.9,114.9,,,,110.4,115.9,110.4,2022-02-04,2022-02-04,0 days,4.982,0.453
674,1867,Golkunda Diamond,110.95,10.75,77.21,1.08,2.51,829.63,60.81,15.48,8.7,,110.45,,,115.95,110.95,114.95,,,,110.45,115.95,110.45,2022-02-04,2022-02-04,0 days,4.98,0.453
675,84,Bank of Baroda,110.95,15.06,57376.28,0,2167.85,22.39,17540.89,-6.4,4.3,,110.45,,,115.95,110.95,114.95,,,,110.45,115.95,110.45,2022-02-04,2022-02-04,0 days,4.98,0.453
676,1745,A B M Internatl.,111,10.13,104.44,0,2.18,49.32,31.55,76.06,66.35,,110.5,,,116,111,115,,,,110.5,116,110.5,2022-02-04,2022-02-04,0 days,4.977,0.452
677,1578,Sarthak Metals,111.1,19.14,152.1,0.9,,,,,18.17,,110.6,,,116.1,111.1,115.1,,,,110.6,116.1,110.6,2022-02-04,2022-02-04,0 days,4.973,0.452
678,1316,Almondz Global,111.15,11.74,287.69,0,8.08,77.19,18.72,23.08,13.21,,110.65,,,116.15,111.15,115.15,,,,110.65,116.15,110.65,2022-02-04,2022-02-04,0 days,4.971,0.452
679,876,Kellton Tech,111.5,14.47,1076.22,0.23,17.44,9.82,208.74,9.36,18.48,,111,,,116.5,111.5,115.5,,,,111,116.5,111,2022-02-04,2022-02-04,0 days,4.955,0.45
680,912,DCM Shriram Inds,111.9,15.93,973.43,1.39,12.64,-48.43,487.74,-8.93,12.04,,111.4,,,116.9,111.9,115.9,,,,111.4,116.9,111.4,2022-02-04,2022-02-04,0 days,4.937,0.449
681,1707,Alkali Metals,111.9,153.92,113.91,0.71,3.19,4457.14,25.39,116.27,4.1,,111.4,,,116.9,111.9,115.9,,,,111.4,116.9,111.4,2022-02-04,2022-02-04,0 days,4.937,0.449
682,1825,Shree Vasu Logis,112,26.02,85.61,0,1.18,,15.01,,11.37,,111.5,,,117,112,116,,,,111.5,117,111.5,2022-02-04,2022-02-04,0 days,4.933,0.448
683,1830,Chandra Bhagat,112,444.75,84.51,0,,,,,7.44,,111.5,,,117,112,116,,,,111.5,117,111.5,2022-02-04,2022-02-04,0 days,4.933,0.448
684,892,Ashapura Minech.,112.25,6.53,1026.92,0.44,33.91,384.24,270.22,40.53,15.88,,111.75,,,117.25,112.25,116.25,,,,111.75,117.25,111.75,2022-02-04,2022-02-04,0 days,4.922,0.447
685,812,Titagarh Wagons,112.8,56.88,1348.82,0,5.75,21.05,459.97,8.74,4.71,,112.3,,,117.8,112.8,116.8,,,,112.3,117.8,112.3,2022-02-04,2022-02-04,0 days,4.898,0.445
686,1683,Freshtrop Fruits,112.95,14.78,120.72,0,-0.27,-124.77,19.64,49.81,12.37,,112.45,,,117.95,112.95,116.95,,,,112.45,117.95,112.45,2022-02-04,2022-02-04,0 days,4.891,0.445
687,1326,Art Nirman Ltd,113,14100.38,282,0,-1.22,-147.29,25.24,-22.31,3.11,,112.5,,,118,113,117,,,,112.5,118,112.5,2022-02-04,2022-02-04,0 days,4.889,0.444
688,1531,SAB Industries,113,2.83,171.63,0,41.61,8222,0,-100,11.08,,112.5,,,118,113,117,,,,112.5,118,112.5,2022-02-04,2022-02-04,0 days,4.889,0.444
689,1234,Prime Securities,113,19.86,351.49,3.97,5.58,830,15.44,144.69,21.36,,112.5,,,118,113,117,,,,112.5,118,112.5,2022-02-04,2022-02-04,0 days,4.889,0.444
690,1988,T & I Global,113.05,7.38,57.29,0,2.37,-37.3,35.26,42.41,28.65,,112.55,,,118.05,113.05,117.05,,,,112.55,118.05,112.55,2022-02-04,2022-02-04,0 days,4.887,0.444
691,743,C P C L,113.75,2.95,1693.86,0,228.83,141.12,9939.29,68.69,16.14,,113.25,,,118.75,113.75,117.75,,,,113.25,118.75,113.25,2022-02-04,2022-02-04,0 days,4.857,0.442
692,1566,Shreyans Inds.,113.8,11.6,157.27,2.63,0.6,132.43,119.44,51.19,5.27,,113.3,,,118.8,113.8,117.8,,,,113.3,118.8,113.3,2022-02-04,2022-02-04,0 days,4.854,0.441
693,579,Meghmani Organi.,113.95,12.28,2897.98,1.22,68.38,33.55,640.28,43.02,18.19,,113.45,,,118.95,113.95,117.95,,,,113.45,118.95,113.45,2022-02-04,2022-02-04,0 days,4.848,0.441
694,1655,Dev Information,114,129.76,125.87,0.22,,,,,5.51,,113.5,,,119,114,118,,,,113.5,119,113.5,2022-02-04,2022-02-04,0 days,4.846,0.441
695,1643,Suraj Products,114.05,5.95,130.02,0,6.56,93.51,54.81,0.02,17.07,,113.55,,,119.05,114.05,118.05,,,,113.55,119.05,113.55,2022-02-04,2022-02-04,0 days,4.844,0.44
696,1437,Veto Switchgears,114.1,12.38,218.08,0.85,4.51,123.27,75.4,78.8,10.73,,113.6,,,119.1,114.1,118.1,,,,113.6,119.1,113.6,2022-02-04,2022-02-04,0 days,4.842,0.44
697,1046,Rubfila Intl.,114.1,14.04,619.19,1.15,10.97,32.65,106.32,60.51,23.49,,113.6,,,119.1,114.1,118.1,,,,113.6,119.1,113.6,2022-02-04,2022-02-04,0 days,4.842,0.44
698,513,Equitas Holdings,114.2,10.52,3903.22,2.59,36.08,-64.33,984.7,13.01,9.48,,113.7,,,119.2,114.2,118.2,,,,113.7,119.2,113.7,2022-02-04,2022-02-04,0 days,4.837,0.44
699,1511,Worth Peripheral,114.25,13.31,179.94,1.76,4.02,-8.01,55.23,42.82,15.21,,113.75,,,119.25,114.25,118.25,,,,113.75,119.25,113.75,2022-02-04,2022-02-04,0 days,4.835,0.44
700,1493,Star Housing Fin,114.7,1188.67,190.2,0,0.3,-63.41,4.71,14.32,6.91,,114.2,,,119.7,114.7,118.7,,,,114.2,119.7,114.2,2022-02-04,2022-02-04,0 days,4.816,0.438
701,868,Parag Milk Foods,114.8,26.14,1094.93,0.43,22.77,43.21,532.32,6.84,6.73,,114.3,,,119.8,114.8,118.8,,,,114.3,119.8,114.3,2022-02-04,2022-02-04,0 days,4.812,0.437
702,1883,Source Natural,114.85,25.77,73.93,0,0.22,-82.81,4.25,-40.56,33.59,,114.35,,,119.85,114.85,118.85,,,,114.35,119.85,114.35,2022-02-04,2022-02-04,0 days,4.81,0.437
703,1328,Euro Panel,115,78.06,281.75,0,1.88,,31.44,,20.12,,114.5,,,120,115,119,,,,114.5,120,114.5,2022-02-04,2022-02-04,0 days,4.803,0.437
704,525,Railtel Corpn.,115.3,19.98,3700.42,1.9,67.5,130.85,358.49,26.69,14.11,,114.8,,,120.3,115.3,119.3,,,,114.8,120.3,114.8,2022-02-04,2022-02-04,0 days,4.791,0.436
705,978,NDTV,115.45,10,744.3,0,12.03,-31.61,91.21,-3.33,52.74,,114.95,,,120.45,115.45,119.45,,,,114.95,120.45,114.95,2022-02-04,2022-02-04,0 days,4.785,0.435
706,1412,ABM Knowledge,116,13.15,232.03,1.09,4.93,-2.76,19.87,21.75,14.85,,115.5,,,121,116,120,,,,115.5,121,115.5,2022-02-04,2022-02-04,0 days,4.762,0.433
707,1661,Faze Three Auto.,116.2,9.72,124.56,0,3.63,-8.33,38.58,-1.68,20.06,,115.7,,,121.2,116.2,120.2,,,,115.7,121.2,115.7,2022-02-04,2022-02-04,0 days,4.754,0.432
708,739,Max Ventures,116.45,21.08,1710.51,0,32.69,1502.45,38.22,133.62,11.72,,115.95,,,121.45,116.45,120.45,,,,115.95,121.45,115.95,2022-02-04,2022-02-04,0 days,4.743,0.431
709,1612,Vertoz Advertis.,116.5,17.53,139.45,0,1.34,3.08,10.06,16.84,16.12,,116,,,121.5,116.5,120.5,,,,116,121.5,116,2022-02-04,2022-02-04,0 days,4.741,0.431
710,1469,Pansari Develop.,116.6,57.81,203.43,0,1.76,417.65,17.1,178.5,6.41,,116.1,,,121.6,116.6,120.6,,,,116.1,121.6,116.1,2022-02-04,2022-02-04,0 days,4.737,0.431
711,688,Manali Petrochem,117.35,5.26,2018.41,1.3,117.28,317.81,436.04,101.19,48.95,,116.85,,,122.35,117.35,121.35,,,,116.85,122.35,116.85,2022-02-04,2022-02-04,0 days,4.707,0.428
712,789,Bodal Chemicals,117.4,13.66,1437.95,0.69,25.23,117.13,469.71,51.65,5.6,,116.9,,,122.4,117.4,121.4,,,,116.9,122.4,116.9,2022-02-04,2022-02-04,0 days,4.705,0.428
713,1672,Hind.Tin Works,117.5,6.43,122.22,1.03,4.62,-3.14,108.32,14.93,12.09,,117,,,122.5,117.5,121.5,,,,117,122.5,117,2022-02-04,2022-02-04,0 days,4.701,0.427
714,1053,The Invest.Trust,117.6,33.23,605.88,0,8.63,90.09,90.55,24.6,7.12,,117.1,,,122.6,117.6,121.6,,,,117.1,122.6,117.1,2022-02-04,2022-02-04,0 days,4.697,0.427
715,301,ITI,117.65,426.21,10982.9,0,-55.78,0.46,352.49,-18.78,4.63,,117.15,,,122.65,117.65,121.65,,,,117.15,122.65,117.15,2022-02-04,2022-02-04,0 days,4.695,0.427
716,199,Natl. Aluminium,117.85,9.61,21644.75,2.94,747.7,595.86,3592.18,51.26,12.77,,117.35,,,122.85,117.85,121.85,,,,117.35,122.85,117.35,2022-02-04,2022-02-04,0 days,4.687,0.426
717,1952,Hisar Met.Inds.,118,6.71,63.71,0.82,2.81,134.17,55.25,43.36,13.74,,117.5,,,123,118,122,,,,117.5,123,117.5,2022-02-04,2022-02-04,0 days,4.681,0.426
718,1270,Shemaroo Entert.,118,59.41,320.76,0,1.86,221.57,89.91,2.15,0.75,,117.5,,,123,118,122,,,,117.5,123,117.5,2022-02-04,2022-02-04,0 days,4.681,0.426
719,1670,Lambodhara Text.,118.45,6.84,122.91,0.85,4.62,352.94,50.33,71.31,15.7,,117.95,,,123.45,118.45,122.45,,,,117.95,123.45,117.95,2022-02-04,2022-02-04,0 days,4.663,0.424
720,959,Indo Amines,118.5,22.78,838.2,0.45,9.68,-21.36,211.57,48.79,19.38,,118,,,123.5,118.5,122.5,,,,118,123.5,118,2022-02-04,2022-02-04,0 days,4.661,0.424
721,482,Man Infra,118.7,25.57,4406.71,0.7,111.35,7632.64,247.34,480.2,9.84,,118.2,,,123.7,118.7,122.7,,,,118.2,123.7,118.2,2022-02-04,2022-02-04,0 days,4.653,0.423
722,1679,Touchwood Enter.,118.85,47.26,121.01,0.1,0.72,253.19,11.75,1858.33,11.02,,118.35,,,123.85,118.85,122.85,,,,118.35,123.85,118.35,2022-02-04,2022-02-04,0 days,4.647,0.422
723,897,Andhra Petrochem,118.85,4.55,1009.88,1.25,86.49,1151.66,242.65,81.45,36.78,,118.35,,,123.85,118.85,122.85,,,,118.35,123.85,118.35,2022-02-04,2022-02-04,0 days,4.647,0.422
724,1303,Euro India Fresh,119.5,224.5,296.34,0,,,,,4.77,,119,,,124.5,119.5,123.5,,,,119,124.5,119,2022-02-04,2022-02-04,0 days,4.622,0.42
725,1675,Softtech Enginee,120,44.15,121.86,0,,,,,7.01,,119.5,,,125,120,124,,,,119.5,125,119.5,2022-02-04,2022-02-04,0 days,4.603,0.418
726,1541,ABans Enterprise,120,6.1,167.41,0.08,5.69,-9.25,929.91,-3.06,25,,119.5,,,125,120,124,,,,119.5,125,119.5,2022-02-04,2022-02-04,0 days,4.603,0.418
727,1665,BSL,120.1,11.21,123.61,0,3.88,50.97,116.39,23.4,7.56,,119.6,,,125.1,120.1,124.1,,,,119.6,125.1,119.6,2022-02-04,2022-02-04,0 days,4.599,0.418
728,600,Filatex India,120.4,7.92,2712.2,0.32,98.25,48.77,1074.22,48.87,22.42,,119.9,,,125.4,120.4,124.4,,,,119.9,125.4,119.9,2022-02-04,2022-02-04,0 days,4.587,0.417
729,563,GE T&D India,120.6,1276.02,3087.96,0,-0.1,-100.27,914.08,-11.62,11.04,,120.1,,,125.6,120.6,124.6,,,,120.1,125.6,120.1,2022-02-04,2022-02-04,0 days,4.58,0.416
730,1458,Pradeep Metals,121,11.94,208.98,0.83,4.99,431.31,55,23.54,15.08,,120.5,,,126,121,125,,,,120.5,126,120.5,2022-02-04,2022-02-04,0 days,4.564,0.415
731,1018,Amines & Plast.,121.75,21.52,669.86,0.34,6.99,-19,133.17,19.13,28.15,,121.25,,,126.75,121.75,125.75,,,,121.25,126.75,121.25,2022-02-04,2022-02-04,0 days,4.536,0.412
732,1546,Maan Aluminium,121.8,8.36,164.7,0.43,4.69,39.58,158.15,69.78,21.8,,121.3,,,126.8,121.8,125.8,,,,121.3,126.8,121.3,2022-02-04,2022-02-04,0 days,4.534,0.412
733,1957,Nitin Castings,121.9,12.94,62.68,0.41,1.37,14.17,22.65,69.54,9.1,,121.4,,,126.9,121.9,125.9,,,,121.4,126.9,121.4,2022-02-04,2022-02-04,0 days,4.53,0.412
734,143,Power Fin.Corpn.,121.9,2.46,32182.6,8.18,3748.22,15.36,19267.75,6.11,9.45,,121.4,,,126.9,121.9,125.9,,,,121.4,126.9,121.4,2022-02-04,2022-02-04,0 days,4.53,0.412
735,1416,DCM,121.95,17.37,227.78,0,7.96,236.3,16.69,65.25,-45.52,,121.45,,,126.95,121.95,125.95,,,,121.45,126.95,121.45,2022-02-04,2022-02-04,0 days,4.529,0.412
736,1960,Advait Infratech,122.05,13.96,62.25,0.82,,,,,13.34,,121.55,,,127.05,122.05,126.05,,,,121.55,127.05,121.55,2022-02-04,2022-02-04,0 days,4.525,0.411
737,286,Castrol India,122.5,16.03,12116.79,2.45,185.9,-9.14,1073.2,21.53,56.79,,122,,,127.5,122.5,126.5,,,,122,127.5,122,2022-02-04,2022-02-04,0 days,4.508,0.41
738,1651,IVP,122.6,10.52,126.65,0.82,3.69,925,148.84,144.28,7.47,,122.1,,,127.6,122.6,126.6,,,,122.1,127.6,122.1,2022-02-04,2022-02-04,0 days,4.505,0.41
739,936,Balu Forge,122.75,52.96,910.35,0.09,7.04,958.54,73.98,,20.6,,122.25,,,127.75,122.75,126.75,,,,122.25,127.75,122.25,2022-02-04,2022-02-04,0 days,4.499,0.409
740,1128,Munjal Showa,123.05,18.09,492.14,3.67,6.37,-40.52,301.14,-8.79,4.29,,122.55,,,128.05,123.05,127.05,,,,122.55,128.05,122.55,2022-02-04,2022-02-04,0 days,4.488,0.408
741,1565,Lotus Chocolate,123.5,34.43,157.65,0,1.53,163.79,22.46,94.97,11.32,,123,,,128.5,123.5,127.5,,,,123,128.5,123,2022-02-04,2022-02-04,0 days,4.472,0.407
742,510,G M D C,123.5,8.87,3927.3,0.16,149.82,5528.26,724.58,120.06,1.27,,123,,,128.5,123.5,127.5,,,,123,128.5,123,2022-02-04,2022-02-04,0 days,4.472,0.407
743,1289,Suumaya Corp.,123.6,6.03,305.57,1.09,62.82,,2340.45,,60.12,,123.1,,,128.6,123.6,127.6,,,,123.1,128.6,123.1,2022-02-04,2022-02-04,0 days,4.468,0.406
744,41,I O C L,124.45,4.23,117159.22,9.68,6143.08,40.93,165339.04,62.36,14.85,,123.95,,,129.45,124.45,128.45,,,,123.95,129.45,123.95,2022-02-04,2022-02-04,0 days,4.437,0.403
745,1452,GSS Infotech,124.85,107.89,211.47,0,1.43,173.33,31.12,4.15,-0.9,,124.35,,,129.85,124.85,128.85,,,,124.35,129.85,124.35,2022-02-04,2022-02-04,0 days,4.423,0.402
746,1654,Veeram Securit.,124.95,43.02,126.02,0,1.1,,4.85,,28.28,,124.45,,,129.95,124.95,128.95,,,,124.45,129.95,124.45,2022-02-04,2022-02-04,0 days,4.419,0.402
747,1114,Maral Overseas,125,8.1,518.86,0,19.91,436.66,279.57,66.88,12.41,,124.5,,,130,125,129,,,,124.5,130,124.5,2022-02-04,2022-02-04,0 days,4.418,0.402
748,1479,Arfin India,125,25.73,198.64,0,2.58,103.15,135.61,68,8.24,,124.5,,,130,125,129,,,,124.5,130,124.5,2022-02-04,2022-02-04,0 days,4.418,0.402
749,1719,La Tim Metal & I,125.1,4.73,110.48,0.4,3.68,-42.68,144.52,28.15,53.87,,124.6,,,130.1,125.1,129.1,,,,124.6,130.1,124.6,2022-02-04,2022-02-04,0 days,4.414,0.401
750,996,Asian Granito,125.15,6.59,710.22,0.4,53.83,170.64,375.75,9.13,12.88,,124.65,,,130.15,125.15,129.15,,,,124.65,130.15,124.65,2022-02-04,2022-02-04,0 days,4.412,0.401
751,151,Aditya Birla Cap,125.55,22.62,30335.51,0,376.9,42.58,5593.22,21.72,8.07,,125.05,,,130.55,125.55,129.55,,,,125.05,130.55,125.05,2022-02-04,2022-02-04,0 days,4.398,0.4
752,1865,Machino Plastics,126,29.99,77.36,0,-0.25,82.88,67.29,21.4,0.96,,125.5,,,131,126,130,,,,125.5,131,125.5,2022-02-04,2022-02-04,0 days,4.382,0.398
753,1818,Mukesh Babu Fin.,126.4,54.72,88.1,0.96,0.74,-45.99,4.9,-44.44,13.18,,125.9,,,131.4,126.4,130.4,,,,125.9,131.4,125.9,2022-02-04,2022-02-04,0 days,4.369,0.397
754,1471,Ishan Dyes & Ch.,127.05,13.7,202.88,1.03,5.04,9.09,15.16,-36.86,27.28,,126.55,,,132.05,127.05,131.05,,,,126.55,132.05,126.55,2022-02-04,2022-02-04,0 days,4.346,0.395
755,1342,T T,127.15,7.43,273.38,0.8,4.06,126.82,119.44,7.89,8.91,,126.65,,,132.15,127.15,131.15,,,,126.65,132.15,126.65,2022-02-04,2022-02-04,0 days,4.343,0.395
756,1514,Arrow Greentech,127.25,24.12,179.27,0,-1.72,3.37,7.44,113.79,7.9,,126.75,,,132.25,127.25,131.25,,,,126.75,132.25,126.75,2022-02-04,2022-02-04,0 days,4.339,0.394
757,1890,Auto Pins (I),127.5,73.51,72.77,0,0.12,33.33,9.25,64.3,13.35,,127,,,132.5,127.5,131.5,,,,127,132.5,127,2022-02-04,2022-02-04,0 days,4.331,0.394
